town,name,drg,grant_name,grant_type,pay1990,pay1991,pay1992,pay1993,pay1994,pay1995,pay1996,pay1997,pay1998,pay1999,pay2000,pay2001,pay2002,pay2003,pay2004,pay2005,pay2006,pay2007,pay2008,pay2009,pay2010,pay2011,pay2012,pay2013
1,Andover                  ,C,E.E.R.A - Public,State,2286,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Andover                  ,C,ECS/Alliance Dist Grants,State,865578,949951,962729,915380,912919,1022547,1232401,1239536,1253840,1290953,1337370,1387381,1509464,1639323,1743796,1812860,1930089,1948513,2212944,2309179,1976465,1999634,2334860,2367756
1,Andover                  ,C,Interdistrict Cooperative,State,0,0,0,0,0,0,28200,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Andover                  ,C,Professional Development,State,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Andover                  ,C,Quality Enhancement,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971,4487
1,Andover                  ,C,School Building Projects,State,43630,42755,41880,41005,40130,29444,28569,27694,26819,25944,58882,1187453,552805,0,0,215067,606005,210725,0,0,0,0,0,0
1,Andover                  ,C,School Readiness -Severe Need,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107000,107000,107000,107000,107000,107000
1,Andover                  ,C,Sp. Ed. - Equity,State,0,0,0,0,0,0,3599,16093,939,19215,18015,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Andover                  ,C,Sp. Ed. - Excess Cost,State,0,0,25691,0,0,0,0,12598,13583,14168,16150,22650,77687,38428,0,0,4572,20397,0,16697,66466,45092,53660,114919
1,Andover                  ,C,Sp. Ed. - Regular,State,145814,145814,127852,84047,84060,123288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Andover                  ,C,Sp. Ed. - State Agency Placements,State,0,0,24027,0,0,0,0,0,0,19713,0,0,0,0,17046,18458,24112,0,0,0,0,0,0,0
1,Andover                  ,C,Sp.Ed Excs Cost Student Supplmnt,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11979,11979,11979,11979
1,Andover                  ,C,State Funds For Tech Infrastructure,State,0,0,0,0,0,0,0,0,0,68786,0,22143,26099,30186,0,0,0,0,0,0,0,0,0,0
1,Andover                  ,C,Student Achievement,State,0,0,0,0,0,0,0,1602,511,299,2102,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Andover                  ,C,Teacher Standards Implementation,State,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Andover                  ,C,Transportation - Public,State,63226,57952,54850,43410,50520,56970,59097,62332,73248,67281,72168,73773,47241,43971,40874,34055,40863,41578,30628,29639,18041,15234,13501,13862
2,Ansonia                  ,H,Adult Education,State,40786,48966,54511,50861,58800,54774,62727,65863,66515,73522,80491,85321,86966,88308,70805,67349,73418,72776,93947,101886,105216,103902,104048,104874
